epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6183,1.67069,2.84061,1.6558,0.85945,0.2965,0.3074,0.17988,1.54877,1.51095,1.70564,0.000184182,0.000184182,0.000184182
2,50.9883,1.56956,1.65529,1.5316,0.58954,0.36432,0.36837,0.20395,1.52419,1.33567,1.61585,0.000365857,0.000365857,0.000365857
3,75.3728,1.51632,1.47714,1.48845,0.63962,0.3914,0.37225,0.20839,1.5377,1.27667,1.6177,0.000543863,0.000543863,0.000543863
4,99.8826,1.49673,1.3963,1.46515,0.44811,0.46371,0.40075,0.22489,1.55384,1.18837,1.69289,0.000539487,0.000539487,0.000539487
5,124.495,1.47501,1.35095,1.45739,0.59435,0.42853,0.41851,0.23406,1.43957,1.13708,1.57308,0.000533982,0.000533982,0.000533982
6,149.235,1.43458,1.25807,1.42712,0.7714,0.4049,0.43427,0.24706,1.42783,1.04333,1.5225,0.000528478,0.000528478,0.000528478
7,174.064,1.41599,1.20556,1.42206,0.72475,0.42357,0.4585,0.25866,1.39175,1.03064,1.53267,0.000522974,0.000522974,0.000522974
8,199.081,1.41293,1.17204,1.4092,0.60476,0.48166,0.46772,0.25591,1.38968,1.01561,1.52545,0.000517469,0.000517469,0.000517469
9,224.175,1.38433,1.13881,1.39555,0.76381,0.46048,0.47412,0.26365,1.4366,0.99597,1.56594,0.000511965,0.000511965,0.000511965
10,249.476,1.37461,1.10746,1.38811,0.68235,0.4173,0.43885,0.24786,1.4332,1.00172,1.54187,0.00050646,0.00050646,0.00050646
11,275.03,1.37057,1.09881,1.39197,0.76668,0.46275,0.46575,0.26753,1.3829,0.95815,1.54458,0.000500956,0.000500956,0.000500956
12,300.786,1.36653,1.07602,1.38453,0.80592,0.43713,0.49623,0.27815,1.38119,0.93244,1.48866,0.000495452,0.000495452,0.000495452
13,326.425,1.34835,1.02544,1.36751,0.60912,0.50233,0.47774,0.27527,1.37004,0.91375,1.49545,0.000489947,0.000489947,0.000489947
14,352.182,1.34195,1.02944,1.36919,0.80079,0.44034,0.47108,0.2673,1.37496,0.9478,1.49131,0.000484443,0.000484443,0.000484443
15,378.26,1.32401,0.99754,1.35663,0.70267,0.4649,0.49455,0.27518,1.36171,0.91589,1.49216,0.000478938,0.000478938,0.000478938
16,404.236,1.34175,1.00499,1.36448,0.5028,0.55386,0.49539,0.2744,1.38564,0.9299,1.51673,0.000473434,0.000473434,0.000473434
17,430.317,1.31968,0.97859,1.35333,0.74943,0.46519,0.48774,0.27672,1.34021,0.89518,1.47625,0.00046793,0.00046793,0.00046793
18,456.373,1.31055,0.97946,1.34272,0.63838,0.52998,0.51726,0.29097,1.35098,0.86257,1.50454,0.000462425,0.000462425,0.000462425
19,482.405,1.32077,0.96514,1.3461,0.60009,0.56155,0.51053,0.28707,1.35689,0.8802,1.47095,0.000456921,0.000456921,0.000456921
20,508.394,1.29623,0.94849,1.33585,0.62692,0.51547,0.48941,0.2819,1.34145,0.86636,1.45914,0.000451416,0.000451416,0.000451416
21,534.521,1.27607,0.93077,1.32673,0.66664,0.51481,0.50904,0.28875,1.3479,0.86337,1.45533,0.000445912,0.000445912,0.000445912
22,560.605,1.30038,0.93631,1.3304,0.55144,0.53995,0.50388,0.29002,1.3328,0.8633,1.45835,0.000440408,0.000440408,0.000440408
23,586.524,1.28097,0.92144,1.32075,0.70124,0.49352,0.49676,0.28796,1.30786,0.81781,1.45323,0.000434903,0.000434903,0.000434903
24,612.93,1.27183,0.90866,1.32276,0.74523,0.44078,0.49739,0.28274,1.35094,0.88655,1.45118,0.000429399,0.000429399,0.000429399
25,639.295,1.27261,0.8982,1.31375,0.46584,0.5651,0.52493,0.29775,1.29045,0.83202,1.43393,0.000423894,0.000423894,0.000423894
26,665.397,1.25669,0.88126,1.30737,0.55343,0.5844,0.53031,0.29703,1.30637,0.82136,1.46294,0.00041839,0.00041839,0.00041839
27,691.735,1.27844,0.90667,1.33028,0.58272,0.55916,0.4997,0.29099,1.34159,0.82594,1.47636,0.000412886,0.000412886,0.000412886
